time,FeeMeanUSD
2019-09-26,0.7458520535402434
2019-09-27,0.9189629039896601
2019-09-28,0.6007239744190129
2019-09-29,0.5923478257186778
2019-09-30,1.1297509114550035
2019-10-01,1.1742526531634379
2019-10-02,0.9452946450172072
2019-10-03,0.9610355212051143
2019-10-04,0.6645728755393406
2019-10-05,0.4759164339627665
2019-10-06,0.47218875042671543
2019-10-07,0.6169679016066962
2019-10-08,0.6780128885248088
2019-10-09,0.8390147834561767
2019-10-10,0.8291804141310258
2019-10-11,0.6640029617629324
2019-10-12,0.5734525584387621
2019-10-13,0.4766601848055469
2019-10-14,0.6617589587618452
2019-10-15,0.6253822717089991
2019-10-16,0.6840492001083056
2019-10-17,0.6167658590288638
2019-10-18,0.5837117020320386
2019-10-19,0.4804137808245571
2019-10-20,0.4472513177429053
2019-10-21,0.48568427451385127
2019-10-22,0.5183658857963996
2019-10-23,0.6696522221120422
2019-10-24,0.722202300357311
2019-10-25,0.9557738975458975
2019-10-26,1.447812296001198
2019-10-27,1.2454456216827847
2019-10-28,1.176620702610924
2019-10-29,1.0586140037383163
2019-10-30,0.9825528215579798
2019-10-31,1.1148645289363786
2019-11-01,1.1670105563127495
2019-11-02,0.8920600646491919
2019-11-03,0.8188040399493363
2019-11-04,1.4782981929065158
2019-11-05,1.2123269795396694
2019-11-06,1.1581640621538412
2019-11-07,1.1290707185633762
2019-11-08,1.1619950849815321
2019-11-09,0.8309919590715449
2019-11-10,0.7186360305335429
2019-11-11,0.7901943857731184
2019-11-12,0.8584981812273945
2019-11-13,0.9174257706392581
2019-11-14,0.7354982902931005
2019-11-15,0.7760248922946774
2019-11-16,0.6821684074809402
2019-11-17,0.6704818979888162
2019-11-18,0.7649140550936507
2019-11-19,0.8423681808354555
2019-11-20,0.6898859204595605
2019-11-21,0.8780061621069771
2019-11-22,0.9317460390271904
2019-11-23,0.5090469814847977
2019-11-24,0.4438569378002219
2019-11-25,0.8389540828528729
2019-11-26,0.8796978572286989
2019-11-27,0.8067787979702995
2019-11-28,0.6242608423799595
2019-11-29,0.8273792882137474
2019-11-30,0.7356420614588803
