time,CapFutExp10yrUSD
2019-10-24,152541137738.7023
2019-10-25,177145720220.38803
2019-10-26,189282444451.99167
2019-10-27,195597418292.1417
2019-10-28,190708942878.1609
2019-10-29,193003479297.28452
2019-10-30,187923039668.48764
2019-10-31,187360561235.90305
2019-11-01,189329185699.02335
2019-11-02,190330018491.73447
2019-11-03,188478839040.4175
2019-11-04,192752346940.76346
2019-11-05,190962214679.45483
2019-11-06,191458315092.38678
2019-11-07,188509360672.02545
2019-11-08,179927286521.2898
2019-11-09,180327353989.68356
2019-11-10,185080137955.95416
2019-11-11,178334601747.70413
2019-11-12,179886847240.2231
2019-11-13,179433733217.6838
2019-11-14,176953429179.22372
2019-11-15,173280355842.91678
2019-11-16,173524092647.00504
2019-11-17,174088424070.89935
2019-11-18,167506955293.0153
2019-11-19,166143291124.953
2019-11-20,165320877660.09656
2019-11-21,155819109638.75723
2019-11-22,148968397481.8274
2019-11-23,149938835767.16006
2019-11-24,142131891649.97144
2019-11-25,146138553756.63538
2019-11-26,146680193821.55612
2019-11-27,154080406343.74045
2019-11-28,152229137496.43546
2019-11-29,158605482901.20093
2019-11-30,154685828724.8364
2019-12-01,151852836992.34644
2019-12-02,149819316155.37057
2019-12-03,149578195186.1243
2019-12-04,147708399209.49252
2019-12-05,151580710647.72308
2019-12-06,154246340829.32874
2019-12-07,153794750011.13522
2019-12-08,154142052830.70837
2019-12-09,150280181290.9595
2019-12-10,148067937456.3057
2019-12-11,147421892790.48135
2019-12-12,147267469849.9468
2019-12-13,148334966164.4289
2019-12-14,144778254960.0893
2019-12-15,145602294535.31802
2019-12-16,140917484059.0037
2019-12-17,135320365634.2092
2019-12-18,149156292179.038
2019-12-19,146323052679.2874
2019-12-20,147103937063.05496
2019-12-21,146206571780.33365
2019-12-22,153152135330.52347
2019-12-23,149925572420.0779
2019-12-24,148163535828.04318
2019-12-25,147254673413.54437
2019-12-26,147327516187.1952
2019-12-27,148199664236.07657
2019-12-28,149624414170.6366
2019-12-29,151365495668.2385
2019-12-30,148046203187.48132
2019-12-31,146778126773.6438
2020-01-01,146846361670.84756
2020-01-02,142264588261.87408
2020-01-03,149812735027.4958
2020-01-04,150385111330.1903
2020-01-05,150435447080.56366
2020-01-06,159044095772.51007
2020-01-07,166629880727.34424
2020-01-08,165067230305.40582
2020-01-09,160101310826.50345
2020-01-10,166507181903.29868
2020-01-11,164505926695.41055
2020-01-12,167222536855.56998
2020-01-13,166351339876.36392
2020-01-14,180859388007.22833
2020-01-15,180478050891.83206
2020-01-16,178580261223.72656
2020-01-17,182553103096.13287
2020-01-18,182875270773.65347
2020-01-19,177944487240.17346
2020-01-20,176899929727.23605
2020-01-21,178839926163.6198
2020-01-22,177142566371.06717
2020-01-23,171378107448.03412
2020-01-24,172547833350.67615
2020-01-25,170939564716.08505
2020-01-26,175634512599.76935
2020-01-27,182357067139.06427
2020-01-28,190459512887.35013
2020-01-29,190760090552.15982
