time,CapMrktCurUSD
2020-11-14,298584647008.3884
2020-11-15,296462424309.67584
2020-11-16,310504166190.32697
2020-11-17,327937646387.3307
2020-11-18,330228752696.0765
2020-11-19,330503275790.7681
2020-11-20,346198155989.3956
2020-11-21,347011959222.6888
2020-11-22,342878718720.17664
2020-11-23,340865435612.13654
2020-11-24,355296694015.8318
2020-11-25,347859153595.5024
2020-11-26,317545276569.0719
2020-11-27,317336964123.96155
2020-11-28,329299905495.87573
2020-11-29,337583882703.102
2020-11-30,364943559264.7621
2020-12-01,349301709105.5422
2020-12-02,356634805528.82007
2020-12-03,361394948313.3676
2020-12-04,347725717595.1267
2020-12-05,354827495085.072
2020-12-06,359330296296.33527
2020-12-07,356115606012.0854
2020-12-08,340515325198.1123
2020-12-09,344870639715.8821
2020-12-10,339689620040.4412
2020-12-11,335377356184.366
2020-12-12,349347444447.4736
2020-12-13,355731616571.54486
2020-12-14,358175636273.79315
2020-12-15,360900992195.48114
2020-12-16,396914973278.86566
2020-12-17,423279795671.9302
2020-12-18,428122220496.30286
2020-12-19,443154244629.2185
2020-12-20,437079507304.86615
2020-12-21,426117800653.2763
2020-12-22,441362670574.1378
2020-12-23,433031966997.9192
2020-12-24,440489071172.94824
2020-12-25,458376575230.92346
2020-12-26,492010402696.75085
2020-12-27,491157576017.431
2020-12-28,502492068165.2396
2020-12-29,506083309589.8401
2020-12-30,536099036611.89905
2020-12-31,539438485763.34326
2021-01-01,546120334521.1261
2021-01-02,595259096891.8091
2021-01-03,618623608665.4474
2021-01-04,591225447115.9058
2021-01-05,632363459585.743
2021-01-06,681302148777.4781
2021-01-07,729171021092.3743
2021-01-08,758210602558.8112
2021-01-09,750719944876.221
2021-01-10,712797906122.6932
2021-01-11,655929285013.3878
2021-01-12,627003122628.9136
2021-01-13,693697236158.0138
2021-01-14,726263096560.8242
2021-01-15,682862938504.5984
2021-01-16,672980587612.2975
2021-01-17,671014140602.7698
2021-01-18,680801989756.2803
2021-01-19,674433161169.6399
2021-01-20,660796011360.799
2021-01-21,577233663032.7885
2021-01-22,613796635287.0494
2021-01-23,596147845572.6093
2021-01-24,599522055193.0248
2021-01-25,603339325091.3531
2021-01-26,607483795108.3151
2021-01-27,565045318370.5283
2021-01-28,623747780660.8578
2021-01-29,635969224450.955
2021-01-30,639419076068.8511
2021-01-31,617258425467.524
2021-02-01,624961266006.2303
2021-02-02,662710063272.541
2021-02-03,699649284857.6385
2021-02-04,691323581111.5704
2021-02-05,708423060288.5243
2021-02-06,732600102916.4373
2021-02-07,726330767434.7867
2021-02-08,858949072826.5892
2021-02-09,866928505326.4628
2021-02-10,839590396720.4327
2021-02-11,892053672305.5282
2021-02-12,885248328501.2935
2021-02-13,879397542244.0934
2021-02-14,909642134133.6622
2021-02-15,896282713832.7703
2021-02-16,915511120381.0225
2021-02-17,973022997734.0732
2021-02-18,962356492673.0549
2021-02-19,1040114403936.8182
2021-02-20,1040935228534.234
2021-02-21,1071525228027.2616
2021-02-22,1005442646562.84
2021-02-23,905003103158.0413
2021-02-24,923816728819.2362
2021-02-25,886602532433.4717
2021-02-26,861734772437.3928
2021-02-27,854375146984.0432
2021-02-28,845557162612.1533
2021-03-01,925288521256.2085
2021-03-02,900542565669.1765
2021-03-03,945068375223.4531
2021-03-04,903761087528.4237
2021-03-05,909922405336.2164
2021-03-06,913133225105.1301
2021-03-07,952634973107.2288
2021-03-08,971370359588.6669
2021-03-09,1020849011792.8512
2021-03-10,1046579658341.0732
2021-03-11,1078915001902.6392
2021-03-12,1069407948747.6104
2021-03-13,1143215732518.7432
2021-03-14,1117474232904.1155
2021-03-15,1046930473230.8708
2021-03-16,1054059319176.5367
2021-03-17,1094827655431.387
2021-03-18,1077129119414.3888
2021-03-19,1085329605069.3691
2021-03-20,1086873922161.563
2021-03-21,1072003269491.2437
2021-03-22,1016170477565.7162
2021-03-23,1018286990169.8544
2021-03-24,981605643201.5552
2021-03-25,962090739266.12
2021-03-26,1023183245013.2983
2021-03-27,1045674049178.2084
2021-03-28,1040002658248.1864
2021-03-29,1074744167036.5872
2021-03-30,1095581166692.6075
2021-03-31,1097648506570.546
2021-04-01,1098201835461.6188
2021-04-02,1102222111989.422
2021-04-03,1069609423123.5428
2021-04-04,1086837744784.4452
2021-04-05,1097233663848.4355
2021-04-06,1084740698496.7766
2021-04-07,1050858458013.2948
2021-04-08,1082591596128.1456
2021-04-09,1084298143058.165
2021-04-10,1114237875675.663
2021-04-11,1119547961330.9443
2021-04-12,1119097619041.5125
2021-04-13,1185278789468.1714
2021-04-14,1174568449691.4597
2021-04-15,1181393313259.5356
2021-04-16,1150416986978.1597
2021-04-17,1126344072578.0193
2021-04-18,1053678758609.268
2021-04-19,1042661468497.9922
2021-04-20,1055343018461.8728
2021-04-21,1009620339154.9824
2021-04-22,969605047752.2135
2021-04-23,952320874673.5844
2021-04-24,939751744133.4486
2021-04-25,914880447463.5385
2021-04-26,1008308106916.2404
2021-04-27,1028613088872.3912
2021-04-28,1024181924008.5573
2021-04-29,1001410824175.2202
2021-04-30,1079500865486.8406
2021-05-01,1081834705464.8834
2021-05-02,1057763322365.5808
2021-05-03,1070362250436.1664
2021-05-04,1004624064123.3464
2021-05-05,1072334244435.8468
2021-05-06,1057159380527.9104
2021-05-07,1072438910564.6576
2021-05-08,1098593174225.6294
2021-05-09,1090287204598.6418
2021-05-10,1045729267184.1482
2021-05-11,1059056066491.1912
2021-05-12,953606762907.2688
2021-05-13,923653159148.4512
2021-05-14,935459104298.8986
2021-05-15,880310927346.3748
2021-05-16,861161597488.6411
2021-05-17,813851735267.469
2021-05-18,800731332066.7421
2021-05-19,704438836807.3655
2021-05-20,763545013579.1251
2021-05-21,695728769937.6442
2021-05-22,704535197246.9867
2021-05-23,650860805397.6799
2021-05-24,723066857297.3595
2021-05-25,716346014295.941
2021-05-26,733691994944.9177
2021-05-27,720916265382.9325
2021-05-28,666390584725.3661
2021-05-29,649288294161.1663
2021-05-30,667486590030.1371
2021-05-31,698613395865.9772
2021-06-01,686446041528.999
2021-06-02,704798573851.8448
2021-06-03,733309551805.9535
2021-06-04,690723752475.9788
2021-06-05,663134442422.8171
2021-06-06,668992893681.9762
2021-06-07,631644548545.3397
2021-06-08,626996036535.3291
2021-06-09,700034858090.9735
2021-06-10,689816389289.0381
2021-06-11,696572821848.9191
2021-06-12,668199727376.6781
