time,CapRealUSD
2014-10-29,4558369820.052046
2014-10-30,4556610908.452858
2014-10-31,4549336960.03717
2014-11-01,4547129116.226917
2014-11-02,4545901930.163668
2014-11-03,4542868734.161326
2014-11-04,4538303006.688614
2014-11-05,4537656679.603857
2014-11-06,4545757909.370917
2014-11-07,4543384769.477778
2014-11-08,4544852565.677014
2014-11-09,4542917196.065339
2014-11-10,4544460513.067242
2014-11-11,4544204170.837973
2014-11-12,4554845125.850897
2014-11-13,4570517485.9175205
2014-11-14,4569678197.279398
2014-11-15,4568523555.541184
2014-11-16,4570528219.637831
2014-11-17,4567923613.224595
2014-11-18,4565911106.832253
2014-11-19,4563155070.292211
2014-11-20,4557234835.6869
2014-11-21,4554283056.895047
2014-11-22,4554431117.41563
2014-11-23,4555752670.143181
2014-11-24,4557626323.891276
2014-11-25,4557296360.239778
2014-11-26,4555804254.870608
2014-11-27,4556165479.912435
2014-11-28,4514617088.979504
2014-11-29,4515012872.581601
2014-11-30,4516871458.927885
2014-12-01,4517101585.591948
2014-12-02,4513278085.173475
2014-12-03,4513490667.112911
2014-12-04,4500765262.745496
2014-12-05,4502451373.228638
2014-12-06,4503114494.058242
2014-12-07,4503542883.515623
2014-12-08,4469432980.041996
2014-12-09,4469581956.515624
2014-12-10,4459763678.35421
2014-12-11,4458044230.80583
2014-12-12,4457661246.001521
2014-12-13,4457673122.864411
2014-12-14,4458374824.513234
2014-12-15,4456070676.004528
2014-12-16,4453413388.257551
2014-12-17,4449834519.111282
2014-12-18,4445083803.695217
2014-12-19,4442008208.307742
2014-12-20,4440454402.968513
2014-12-21,4429963001.615671
2014-12-22,4429895301.631366
2014-12-23,4409845073.957798
2014-12-24,4409146040.551153
2014-12-25,4408757764.012951
2014-12-26,4409182704.728663
2014-12-27,4408312748.166543
2014-12-28,4406235856.0810175
2014-12-29,4404043284.783626
2014-12-30,4384641020.849185
2014-12-31,4379833718.93616
2015-01-01,4380336374.30047
2015-01-02,4380328532.036207
2015-01-03,4370059827.5523205
2015-01-04,4362258521.977396
2015-01-05,4354468293.00575
2015-01-06,4355354449.405637
2015-01-07,4355807345.211866
2015-01-08,4346123314.208708
2015-01-09,4338479877.880768
2015-01-10,4334403131.219084
2015-01-11,4332632041.326394
2015-01-12,4327604387.408116
2015-01-13,4309652736.59632
2015-01-14,4277196835.040081
2015-01-15,4275572279.193773
2015-01-16,4270411534.9662647
2015-01-17,4266821339.252563
2015-01-18,4265789764.5970416
2015-01-19,4264539349.5311193
2015-01-20,4260832298.51775
2015-01-21,4239498417.8069067
2015-01-22,4239761008.1917586
2015-01-23,4238521587.0495157
2015-01-24,4240696764.6930213
2015-01-25,4241423708.705286
2015-01-26,4230101577.689901
2015-01-27,4228873367.3977704
2015-01-28,4225037093.6143885
2015-01-29,4221310028.8196077
2015-01-30,4216762621.620557
2015-01-31,4209837049.8619013
2015-02-01,4209800340.257152
2015-02-02,4209035629.445052
2015-02-03,4206939679.153665
2015-02-04,4204158943.7017083
2015-02-05,4199355765.038502
2015-02-06,4199254192.124057
2015-02-07,4198796588.147847
2015-02-08,4197899270.969086
2015-02-09,4194878630.8862553
2015-02-10,4193564226.208289
2015-02-11,4189693792.003732
2015-02-12,4189184932.099653
2015-02-13,4190103025.192658
2015-02-14,4192193921.4404902
2015-02-15,4190495211.650542
2015-02-16,4189741426.9434147
2015-02-17,4190436450.7245946
2015-02-18,4190067246.497453
2015-02-19,4182293823.128876
2015-02-20,4189371311.262484
2015-02-21,4189867246.784491
2015-02-22,4188655851.551249
2015-02-23,4186657037.203682
2015-02-24,4185270390.9059153
2015-02-25,4180884594.133648
2015-02-26,4180358863.0349193
2015-02-27,4182650925.701786
2015-02-28,4182187899.0441594
2015-03-01,4185891343.806096
2015-03-02,4188762568.4542456
2015-03-03,4184736479.148437
2015-03-04,4185678209.7157426
2015-03-05,4184093193.709765
2015-03-06,4185403158.512882
2015-03-07,4181689055.8167825
2015-03-08,4177230971.2846174
2015-03-09,4174040720.249046
2015-03-10,4183653589.96943
2015-03-11,4187504048.2937264
2015-03-12,4199651654.564623
2015-03-13,4194419459.329654
2015-03-14,4194971516.5903163
2015-03-15,4195635294.6904373
2015-03-16,4195089919.831542
2015-03-17,4195973418.3160214
2015-03-18,4190207144.619954
2015-03-19,4188379627.710874
2015-03-20,4187643623.213398
2015-03-21,4187779486.6304045
2015-03-22,4188125141.146963
2015-03-23,4187634378.082643
2015-03-24,4184185951.4207506
2015-03-25,4181714510.2811184
2015-03-26,4180234817.46502
2015-03-27,4178918695.518418
2015-03-28,4179303780.9845023
2015-03-29,4178666758.5991406
2015-03-30,4177483708.3398795
2015-03-31,4176580040.7874484
2015-04-01,4167516787.354421
2015-04-02,4169396815.223332
2015-04-03,4168617657.4142785
2015-04-04,4169571531.8738766
2015-04-05,4170683892.0219336
2015-04-06,4170774642.861698
2015-04-07,4170650535.511918
2015-04-08,4169414495.688693
2015-04-09,4166414145.7571893
2015-04-10,4156482285.826857
2015-04-11,4156253327.3365684
2015-04-12,4154615857.0465217
2015-04-13,4149523221.4962687
2015-04-14,4146245410.2988844
2015-04-15,4134472792.7341037
2015-04-16,4133785647.2292485
2015-04-17,4131998780.1308284
2015-04-18,4132036549.529168
2015-04-19,4132094610.9835215
2015-04-20,4130630093.176052
2015-04-21,4130172473.521503
2015-04-22,4129929721.3584857
2015-04-23,4131160024.486396
2015-04-24,4130107385.72116
2015-04-25,4129702859.2514057
2015-04-26,4128247210.778877
2015-04-27,4127032976.3066425
2015-04-28,4126603035.4764543
2015-04-29,4126181085.433564
2015-04-30,4127464847.9579916
2015-05-01,4127130096.342379
2015-05-02,4127749426.278403
2015-05-03,4129099755.9036345
2015-05-04,4129366249.4522004
2015-05-05,4128630295.74412
2015-05-06,4128046026.4339566
2015-05-07,4128033039.5461593
2015-05-08,4129322336.614952
2015-05-09,4129945478.8053546
2015-05-10,4129892735.8979573
